Index,Adsorbent,Directory,co2_0.1bar,co2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc
2348,LELMIA01_clean,MOF2348,0.279626157,2.849529932,0.282605358,2.415235915,2.569903775,2.1326305569999997,2.3953806002751445
2349,LELROL_clean,MOF2349,0.107077031,4.688006849,0.106974227,2.482795363,4.5809298179999995,2.3758211360000003,3.8336121669347825
2350,LENGAO_clean,MOF2350,0.10946657,12.26046595,0.111178425,1.782608265,12.15099938,1.6714298399999998,13.964066957364928
2351,LENGES_clean,MOF2351,1.756367311,3.740670077,1.764137113,2.051145227,1.9843027659999999,0.28700811400000004,3.7026601981786293
2352,LENKIA_clean,MOF2352,0.07209469,2.766387448,0.071280011,1.755778374,2.694292758,1.6844983629999999,3.1989258449920217
2353,LEQBUG_clean,MOF2353,0.304672443,12.60827982,0.300745647,4.182744694,12.303607377,3.8819990470000003,6.120055274273583
2354,LEQCAN_clean,MOF2354,0.313045969,12.68159,0.31348333,4.311804212,12.368544031,3.9983208820000002,5.971391403720027
2355,LEQQAA_clean,MOF2355,0.144315024,10.16703656,0.146778012,2.92516096,10.022721535999999,2.778382948,7.056762147191277
2356,LEQQII_clean,MOF2356,0.08266768,6.345738063,0.082691715,2.011740448,6.263070383,1.929048733,6.4042909867556554
2357,LEQVUZ_clean,MOF2357,0.115264872,6.222602716,0.114823801,2.768703879,6.107337844,2.653880078,4.563062610808972
2358,LETDEU_clean,MOF2358,0.009957826,0.162207748,0.010019035,0.266313511,0.152249922,0.256294476,1.2366285175183258
2359,LETDUK_clean,MOF2359,0.050255518,0.933022765,0.049489723,1.21013949,0.8827672470000001,1.160649767,1.5653723911788155
2360,LEVDIB_clean,MOF2360,0.160466742,10.65618291,0.157566351,2.959468715,10.495716168,2.801902364,7.310528522899546
2361,LEVLEF_clean,MOF2361,0.24283287,7.578754817,0.232416626,2.25626762,7.335921947,2.023850994,6.819744579270605
2362,LEVNOQ_clean,MOF2362,0.288797763,11.42816724,0.288848238,3.794461016,11.139369477,3.505612778,6.11487177766325
2363,LEVNOQ01_clean,MOF2363,0.306017226,11.26157719,0.305646435,3.806405926,10.955559964,3.500759491,6.0068250048348855
2364,LEVPAF_clean,MOF2364,0.086535141,5.253249793,0.084477368,1.892428926,5.1667146520000005,1.807951558,5.635978623625555
2365,LEWMUX_clean,MOF2365,0.230938093,8.772822726,0.232350029,2.6293988,8.541884632999999,2.397048771,6.773977597049596
2366,LEWZET_clean,MOF2366,0.410589919,4.146606181,0.407585838,3.674799065,3.736016262,3.267213227,2.2909734507504496
2367,LEYRAK_clean,MOF2367,0.042989112,7.590561493,0.042441349,1.04186205,7.547572381,0.999420701,14.791919910068128
2368,LEZJOQ_clean,MOF2368,0.153386059,2.376910956,0.154137512,1.181109658,2.2235248970000003,1.026972146,4.085860685365146
2369,LEZMIN_clean,MOF2369,0.188441996,4.132186064,0.18832696,2.29911929,3.943744068,2.11079233,3.649045059995626
2370,LICKAL_clean,MOF2370,0.113022084,1.453956644,0.111525444,1.00002049,1.34093456,0.8884950460000001,2.951912095563586
2371,LIDSAU_clean,MOF2371,0.525317853,11.04769972,0.519000817,4.572686118,10.522381867,4.053685301,4.905252107967657
2372,LIDSEY_clean,MOF2372,0.526821677,11.23963942,0.530319148,4.771614885,10.712817742999999,4.241295737,4.782421575067954
2373,LIDSIC_clean,MOF2373,0.370759558,12.07770017,0.369774384,4.565800338,11.706940612,4.196025954,5.370666572989865
2374,LIDWIG_clean,MOF2374,0.207090839,2.596575411,0.20725403,2.164657775,2.3894845719999998,1.9574037449999997,2.4354126487100887
2375,LIDZOP_clean,MOF2375,0.039166863,0.460030423,0.480550551,1.28737538,0.42086356,0.8068248290000001,0.7255080191517139
2376,LIFWOO_clean,MOF2376,0.319328132,5.646130616,0.324034877,3.04227293,5.326802484,2.7182380530000003,3.7680235675474107
2377,LIGHAM_clean,MOF2377,0.115820181,3.939845609,0.118077858,1.997289255,3.8240254279999997,1.8792113970000002,4.004968463558268
2378,LIKDOA_clean,MOF2378,0.088317803,22.56445305,0.089984254,1.963021669,22.476135247000002,1.873037415,23.337835810994022
2379,LIKGUJ_clean,MOF2379,0.287874266,10.4122523,0.292478265,2.744974964,10.124378034000001,2.4524966989999997,7.701355267067456
2380,LIPQOR_clean,MOF2380,0.101917659,3.999115635,0.10350575,2.094886748,3.8971979759999997,1.991380998,3.875826032134854
2381,LIQDAS_clean,MOF2381,0.07925805,12.71536971,0.078410534,1.929061885,12.63611166,1.850651351,13.382698530501711
2382,LIQJEC_clean,MOF2382,0.050718948,1.173392871,0.050778197,1.136038477,1.1226739229999998,1.08526028,2.0970619833392075
2383,LIRFIB_clean,MOF2383,0.03714498,31.49527499,0.038112778,1.028644053,31.458130009999998,0.990531275,62.16431433782297
2384,LITCIC_clean,MOF2384,0.164427141,10.27461003,0.160664173,2.693768451,10.110182889,2.533104278,7.744010763563178
2385,LITDAV_clean,MOF2385,0.252466774,8.994039643,0.250633297,3.070311121,8.741572869,2.819677824,5.947483894042961
2386,LITHUR_clean,MOF2386,0.014793303,0.277767216,0.014797553,0.374654003,0.262973913,0.35985645,1.5052598286628645
2387,LIVLUZ_clean,MOF2387,0.274338635,2.728603371,0.27364808,2.514152728,2.4542647360000003,2.240504648,2.203482561317319
2388,LIVTIT_clean,MOF2388,0.148250923,2.624958134,0.152957715,2.904812363,2.476707211,2.751854648,1.8347004170605659
2389,LIVWAQ_clean,MOF2389,0.221344118,6.068432464,0.218470253,2.164107168,5.847088346,1.9456369150000001,5.693228599318832
