Adsorbent,CO2_0.1bar,CO2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc,CO2_3p,CH4_3p,CO2_3p_sim,CH4_3p_sim,CH4_Isotherm_1,par_1_CH4,par_2_CH4,Acc_CH4(-R2),CO2_Isotherm_1,par_1_CO2,par_2_CO2,Acc_CO2(-R2),CO2_4p,CH4_4p,CO2_4p_sim,CH4_4p_sim,CH4_Isotherm_2,par_CH4_2,Acc_CH4(-R2)_2,CO2_Isotherm_2,par_CO2_2,Acc_CO2(-R2)_2,CO2_5p,CO2_5p_sim,CO2_Isotherm_3,par_CO2_3,Acc_CO2(-R2)_3,CH4_Isotherm_3,Density,
XICYUF_clean,0.061350728,10.41214781,0.061041004,1.387930418,10.35079708,1.326889414,15.231178,10,10,11.24201639,2.328537974,Lang,10.27978338,0.029285204,-0.999999461,Lang,11.57815248,3.344481491,-0.896045129,6,NaN,10.89408786,NaN,NaN,NaN,-0.999999461,Quad,[ 5.62783339 -0.16675622  1.37726216],-0.999297427,NaN,NaN,NaN,NaN,-0.999297427,,993.0279247,
XIDBUJ_clean,0.191938576,6.741008604,0.190816844,2.809326004,6.549070028,2.61850916,4.871734422,10,10,7.17696256,3.807128957,Lang,6.40253328,0.146687662,-0.99999004,Lang,7.35011256,4.144968336,-0.874311071,1.4,NaN,6.657294642,NaN,NaN,NaN,-0.99999004,Sips,[7.04410045 4.78558472 2.25578046],-0.997033878,NaN,NaN,NaN,NaN,-0.997033878,,1095.461089,
XIDMED_clean,0.180649672,7.641163159,0.177784807,2.684000859,7.460513487,2.506216052,5.780131055,10,10,8.750937284,3.987413801,Lang,8.945513905,0.080422269,-0.999825428,Lang,9.239752019,1.790238369,-0.965611615,6,NaN,8.244764462,NaN,NaN,NaN,-0.999825428,Sips,[8.89748312 1.11244754 1.72980117],-0.998086112,NaN,NaN,NaN,NaN,-0.998086112,,1211.193346,
XIDSUZ_clean,0.098951132,10.23413914,0.099693652,2.308238309,10.13518801,2.208544657,9.001845099,10,10,13.77120818,4.080573819,Lang,32.99638708,0.014111888,-0.99999414,Lang,15.75459108,0.694329198,-0.991524921,NaN,NaN,NaN,NaN,NaN,NaN,-0.99999414,NaN,NaN,-0.991524921,NaN,NaN,NaN,NaN,-0.991524921,,493.2630448,
XIGFOJ_manual,0.076762523,6.656656747,0.077341517,1.740883507,6.579894224,1.66354199,7.763316908,10,10,8.019423052,2.924065595,Lang,13.03625567,0.028916246,-0.999998612,Lang,8.665651178,1.240977663,-0.978540816,6,NaN,7.455354174,NaN,NaN,NaN,-0.999998612,Sips,[8.17453321 0.7000731  1.86835944],-0.997367187,NaN,NaN,NaN,NaN,-0.997367187,,692.0331397,
XIHSAJ_clean,0.175692398,10.63452049,0.175858524,2.917748567,10.45882809,2.741890043,7.399986216,10,10,10.97615298,3.944568354,Lang,6.592502899,0.148967744,-0.999970863,Lang,11.10611354,8.445766571,-0.680268107,1.4,NaN,10.31528288,NaN,NaN,NaN,-0.999970863,Sips,[10.97952438  6.47850012  2.60193219],-0.999439181,NaN,NaN,NaN,NaN,-0.999439181,,1014.201955,
XIHSAJ01_clean,0.182302074,10.42766602,0.183572179,2.953162766,10.24536395,2.769590587,7.169033202,10,10,10.82248761,3.936075558,Lang,6.347207068,0.163246013,-0.999961354,Lang,10.97383601,7.150672337,-0.734829198,1.4,NaN,10.15847615,NaN,NaN,NaN,-0.999961354,Sips,[10.82546426  6.41248754  2.58022585],-0.999114258,NaN,NaN,NaN,NaN,-0.999114258,,1030.525316,
XIHSEN_clean,0.216179814,9.876869808,0.210061949,3.053977431,9.660689994,2.843915482,6.56620396,10,10,10.25645204,3.906545714,Lang,5.73329376,0.213852559,-0.999915945,Lang,10.40207144,7.043378741,-0.742624859,1.4,NaN,9.759294583,NaN,NaN,NaN,-0.999915945,Sips,[10.24827505  8.69677451  2.58717003],-0.998899255,NaN,NaN,NaN,NaN,-0.998899255,,1090.916765,
XIHSEN01_clean,0.201128408,10.10830275,0.202808321,2.97711847,9.907174342,2.774310149,6.893550899,10,10,10.45513771,3.838391446,Lang,5.730510921,0.202862016,-0.99994106,Lang,10.5874631,7.901074309,-0.705069912,1.4,NaN,9.780372314,NaN,NaN,NaN,-0.99994106,Sips,[10.46046818  6.2008476   2.50009723],-0.999407285,NaN,NaN,NaN,NaN,-0.999407285,,1084.771722,
XILDUT_clean,0.09112434,3.403973732,0.090825446,1.593866335,3.312849392,1.503040889,4.336058822,10,10,4.172936239,2.308047278,Lang,4.723875865,0.095538573,-0.999998014,Lang,4.547099111,1.115272632,-0.98583178,6,NaN,3.930171434,NaN,NaN,NaN,-0.999998014,Sips,[4.31318906 0.80134699 1.56970972],-0.999373931,NaN,NaN,NaN,NaN,-0.999373931,,1325.820208,
