,MOF_name,P_low,opt_MACO_Diffev
121,MOF4460,0.3221077221831812,-549.2852846083239
122,MOF4461,0.37893631048116827,-613.0441579742003
123,MOF4462,0.24338838879567548,-679.1575703701862
124,MOF4543,0.2569693160692532,-410.5194152978047
125,MOF4544,0.29243146616070514,-437.82151398266114
126,MOF4604,0.42892110362889957,-314.8349518072492
127,MOF4624,0.3070455939333492,-519.463050326387
128,MOF4631,0.24670964423457997,-386.5201307488644
129,MOF4669,0.11615819307824832,-374.6429557832818
130,MOF4780,0.2392900028270279,-462.1884714955667
131,MOF4820,0.24892953239119014,-312.8358680606445
132,MOF4839,0.2912136895144678,-492.0290828115709
133,MOF4849,0.23338036148212787,-481.6760175237538
134,MOF4853,0.9817620153909683,-490.58455412273815
135,MOF4856,0.258581082736763,-389.0330081705061
136,MOF4858,0.25589592225177105,-397.6035690556458
137,MOF4877,0.3237314317032689,-593.5411890880835
